join_key,OSMMSTYLE_NAME,MI_STYLE
"TopographicAreaNatural Environment,Road Or TrackConiferous Trees,Rough Grassland,ScrubNatural",roadFillVegetation,"Brush (2,13421772,13421772) Pen (1,1,13421772)"
"TopographicAreaNatural EnvironmentConiferous Trees,ScrubNatural",coniferousTreesAndScrubPattern,"Brush (102,6723942,13434828)"
"TopographicAreaNatural Environment,RailConiferous Trees,ScrubNatural",railFillVegetation,"Brush (2,13421772,13421772)"
"TopographicAreaNatural Environment,Road Or TrackConiferous Trees,ScrubNatural",roadFillVegetation,"Brush (2,13421772,13421772) Pen (1,1,13421772)"
TopographicAreaNatural EnvironmentCoppice Or OsiersNatural,coppicePattern,"Brush (84,6723942,13434828)"
"TopographicAreaNatural Environment,RailCoppice Or OsiersNatural",railFillVegetation,"Brush (2,13421772,13421772)"
"TopographicAreaNatural EnvironmentCoppice Or Osiers,Nonconiferous TreesNatural",nonconiferousTreesAndCoppicePattern,"Brush (102,6723942,13434828)"
"TopographicAreaNatural EnvironmentCoppice Or Osiers,Nonconiferous Trees,Rough GrasslandNatural",multiVegetationPattern,"Brush (101,6723942,13434828)"
"TopographicAreaNatural EnvironmentCoppice Or Osiers,Nonconiferous Trees,Rough Grassland,ScrubNatural",multiVegetationPattern,"Brush (101,6723942,13434828)"
"TopographicAreaNatural EnvironmentCoppice Or Osiers,Nonconiferous Trees,ScrubNatural",scrubNonconiferousTreesAndCoppicePattern,"Brush (102,6723942,13434828)"
"TopographicAreaNatural Environment,Road Or TrackCoppice Or Osiers,Nonconiferous Trees,ScrubNatural",roadFillVegetation,"Brush (2,13421772,13421772) Pen (1,1,13421772)"
"TopographicAreaNatural EnvironmentCoppice Or Osiers,Rough GrasslandNatural",multiVegetationPattern,"Brush (101,6723942,13434828)"
"TopographicAreaNatural EnvironmentCoppice Or Osiers,ScrubNatural",multiVegetationPattern,"Brush (101,6723942,13434828)"
BoundaryLinePolitical Or AdministrativeCountyBoundary,countyLine,"Pen (3,3,16711935)"
TopographicLineHistoric InterestCourse Of Heritage,defaultUndergroundLine,"Pen (1,8,3355443)"
TopographicPointInland WaterCulvertManmade,culvertSymbol,"Symbol (40,39423,10) Pen (1,2,39423)"
TopographicLineInland WaterCulvertManmade,waterLine,"Pen (1,2,39423)"
CartographicSymbolInland WaterCulvert,culvertSymbol,"Symbol (40,39423,10) Pen (1,2,39423)"
CartographicSymbolInland WaterDirection Of Flow,flowArrowSymbol,"Symbol (40,0,10) Pen (1,2,39423)"
BoundaryLinePolitical Or AdministrativeDistrictBoundary,districtLine,"Pen (2,4,16711935)"
TopographicPointLandformDisused FeatureNatural,landformDisusedSymbol,"Symbol (40,6710886,10) Pen (1,2,6710886)"
TopographicLineBuildingDivisionManmadeObstructing,buildingLine,"Pen (1,2,16711680)"
BoundaryLinePolitical Or AdministrativeElectoralBoundary,electoralLine,"Pen (2,3,16711935)"
"TopographicAreaGeneral Surface,Tidal WaterForeshoreManmade",tidalWaterFillAndforeshorePattern,"Brush (2,7401204,7401204)"
"TopographicAreaNatural Environment,Tidal WaterForeshoreNatural",tidalWaterFillAndforeshorePattern,"Brush (2,7401204,7401204)"
TopographicAreaTidal WaterForeshoreNatural,tidalWaterFillAndforeshorePattern,"Brush (2,7401204,7401204)"
CartographicTextTidal WaterForeshore,waterText,"Pen (1,2,39423)"
"TopographicAreaStructure,Tidal WaterForeshoreManmade",tidalWaterFillAndforeshorePattern,"Brush (2,13408614,13408614)"
TopographicAreaNatural EnvironmentHeathNatural,heathPattern,"Brush (86,6723942,13434828)"
"TopographicAreaNatural Environment,Road Or TrackHeathNatural",roadFillVegetation,"Brush (2,13421772,13421772) Pen (1,1,13421772)"
"TopographicAreaNatural EnvironmentHeath,Marsh Reeds Or Saltmarsh,ScrubNatural",multiVegetationPattern,"Brush (101,6723942,13434828)"
"TopographicAreaNatural EnvironmentHeath,Nonconiferous TreesNatural",multiVegetationPattern,"Brush (101,6723942,13434828)"
"TopographicAreaNatural EnvironmentHeath,Nonconiferous Trees (Scattered)Natural",multiVegetationPattern,"Brush (101,6723942,13434828)"
"TopographicAreaNatural EnvironmentHeath,Nonconiferous Trees (Scattered),Rough GrasslandNatural",multiVegetationPattern,"Brush (101,6723942,13434828)"
"TopographicAreaNatural EnvironmentHeath,Nonconiferous Trees (Scattered),Rough Grassland,ScrubNatural",multiVegetationPattern,"Brush (101,6723942,13434828)"
"TopographicAreaNatural EnvironmentHeath,Nonconiferous Trees (Scattered),ScrubNatural",multiVegetationPattern,"Brush (101,6723942,13434828)"
"TopographicAreaNatural EnvironmentHeath,Nonconiferous Trees,Rough Grassland,ScrubNatural",multiVegetationPattern,"Brush (101,6723942,13434828)"
"TopographicAreaNatural EnvironmentHeath,Nonconiferous Trees,ScrubNatural",multiVegetationPattern,"Brush (101,6723942,13434828)"
"TopographicAreaNatural EnvironmentHeath,Rock (Scattered)Natural",heathAndScatteredRocksPattern,"Brush (102,6723942,13434828)"
"TopographicAreaNatural EnvironmentHeath,Rock (Scattered),Rough GrasslandNatural",roughGrassScatteredRocksAndHeathPattern,"Brush (102,6723942,13434828)"
"TopographicAreaNatural EnvironmentHeath,Rock,Rough GrasslandNatural",multiVegetationPattern,"Brush (101,6723942,13434828)"
"TopographicAreaNatural EnvironmentHeath,Rough GrasslandNatural",roughGrassAndHeathPattern,"Brush (102,6723942,13434828)"
"TopographicAreaNatural EnvironmentHeath,Rough Grassland,ScrubNatural",multiVegetationPattern,"Brush (101,6723942,13434828)"
"TopographicAreaNatural EnvironmentHeath,ScrubNatural",heathAndScrubPattern,"Brush (102,6723942,13434828)"
"TopographicAreaNatural Environment,Road Or TrackHeath,ScrubNatural",roadFillVegetation,"Brush (2,13421772,13421772) Pen (1,1,13421772)"
TopographicLineNetwork Or Polygon Closing GeometryInferred Property Closing LinkClosing,closingLine,"Pen (1,2,16777215)"
"TopographicAreaInland Water,Natural EnvironmentMarsh Reeds Or SaltmarshNatural",inlandWaterFill,"Brush (2,10092543,10092543)"
TopographicAreaNatural EnvironmentMarsh Reeds Or SaltmarshNatural,marshPattern,"Brush (87,6723942,13434828)"
"TopographicAreaNatural Environment,RailMarsh Reeds Or SaltmarshNatural",railFillVegetation,"Brush (2,13421772,13421772)"
"TopographicAreaNatural Environment,Road Or TrackMarsh Reeds Or SaltmarshNatural",roadFillVegetation,"Brush (2,13421772,13421772) Pen (1,1,13421772)"
"TopographicAreaInland Water,Natural EnvironmentMarsh Reeds Or Saltmarsh,Nonconiferous TreesNatural",multiVegetationPattern,"Brush (101,6723942,13434828)"
"TopographicAreaNatural EnvironmentMarsh Reeds Or Saltmarsh,Nonconiferous TreesNatural",multiVegetationPattern,"Brush (101,6723942,13434828)"
"TopographicAreaNatural Environment,Road Or TrackMarsh Reeds Or Saltmarsh,Nonconiferous TreesNatural",roadFillVegetation,"Brush (2,13421772,13421772) Pen (1,1,13421772)"
"TopographicAreaNatural EnvironmentMarsh Reeds Or Saltmarsh,Nonconiferous Trees (Scattered)Natural",multiVegetationPattern,"Brush (101,6723942,13434828)"
"TopographicAreaNatural EnvironmentMarsh Reeds Or Saltmarsh,Nonconiferous Trees (Scattered),Rough GrasslandNatural",multiVegetationPattern,"Brush (101,6723942,13434828)"
"TopographicAreaNatural EnvironmentMarsh Reeds Or Saltmarsh,Nonconiferous Trees (Scattered),ScrubNatural",multiVegetationPattern,"Brush (101,6723942,13434828)"
"TopographicAreaNatural EnvironmentMarsh Reeds Or Saltmarsh,Nonconiferous Trees,Rough Grassland,ScrubNatural",multiVegetationPattern,"Brush (101,6723942,13434828)"
"TopographicAreaNatural EnvironmentMarsh Reeds Or Saltmarsh,Nonconiferous Trees,ScrubNatural",multiVegetationPattern,"Brush (101,6723942,13434828)"
"TopographicAreaNatural Environment,Road Or TrackMarsh Reeds Or Saltmarsh,Nonconiferous Trees,ScrubNatural",roadFillVegetation,"Brush (2,13421772,13421772) Pen (1,1,13421772)"
"TopographicAreaNatural EnvironmentMarsh Reeds Or Saltmarsh,Rough GrasslandNatural",roughGrassAndMarshPattern,"Brush (102,6723942,13434828)"
"TopographicAreaNatural EnvironmentMarsh Reeds Or Saltmarsh,Rough Grassland,ScrubNatural",multiVegetationPattern,"Brush (101,6723942,13434828)"
"TopographicAreaNatural EnvironmentMarsh Reeds Or Saltmarsh,ScrubNatural",multiVegetationPattern,"Brush (101,6723942,13434828)"
TopographicLineTidal WaterMean High Water (Springs)NaturalEdge / Limit,waterBoldLine,"Pen (2,2,39423)"
TopographicLineTidal WaterMean Low Water (Springs)NaturalEdge / Limit,waterDashedLine,"Pen (1,3,39423)"
TopographicAreaGeneral SurfaceMulti SurfaceMultiple,multipleSurfaceFill,"Brush (2,16777164,16777164)"
"TopographicAreaGeneral Surface,Road Or TrackMulti SurfaceMultiple",multipleSurfaceFill,"Brush (2,16777164,16777164)"
TopographicLineRailNarrow GaugeNetwork,narrowGaugeRailwayAlignmentLine,"Pen (2,8,3355443)"
TopographicLineRailNarrow GaugeManmadeNetwork,narrowGaugeRailwayAlignmentLine,"Pen (2,8,3355443)"
TopographicAreaNatural EnvironmentNonconiferous TreesNatural,nonconiferousTreesPattern,"Brush (77,6723942,13434828)"
"TopographicAreaNatural Environment,RailNonconiferous TreesNatural",railFillVegetation,"Brush (2,13421772,13421772)"
"TopographicAreaNatural Environment,Road Or TrackNonconiferous TreesNatural",roadFillVegetation,"Brush (2,13421772,13421772) Pen (1,1,13421772)"
"TopographicAreaGeneral Feature,Natural EnvironmentNonconiferous Trees (Scattered)Natural",multiVegetationPattern,"Brush (101,6723942,13434828)"
TopographicAreaNatural EnvironmentNonconiferous Trees (Scattered)Natural,scatteredNonconiferousTreesPattern,"Brush (77,6723942,13434828)"
"TopographicAreaNatural Environment,RailNonconiferous Trees (Scattered)Natural",railFillVegetation,"Brush (2,13421772,13421772)"
"TopographicAreaNatural Environment,Road Or TrackNonconiferous Trees (Scattered)Natural",roadFillVegetation,"Brush (2,13421772,13421772) Pen (1,1,13421772)"
"TopographicAreaNatural EnvironmentNonconiferous Trees (Scattered),Rock (Scattered)Natural",multiVegetationPattern,"Brush (101,6723942,13434828)"
"TopographicAreaNatural EnvironmentNonconiferous Trees (Scattered),Rock (Scattered),Rough GrasslandNatural",multiVegetationPattern,"Brush (101,6723942,13434828)"
"TopographicAreaNatural EnvironmentNonconiferous Trees (Scattered),Rock (Scattered),Rough Grassland,ScrubNatural",multiVegetationPattern,"Brush (101,6723942,13434828)"
"TopographicAreaNatural EnvironmentNonconiferous Trees (Scattered),Rough GrasslandNatural",roughGrassAndScatteredNonconiferousTreesPattern,"Brush (102,6723942,13434828)"
"TopographicAreaNatural Environment,Road Or TrackNonconiferous Trees (Scattered),Rough GrasslandNatural",roadFillVegetation,"Brush (2,13421772,13421772) Pen (1,1,13421772)"
"TopographicAreaNatural EnvironmentNonconiferous Trees (Scattered),Rough Grassland,ScrubNatural",roughGrassScatteredNonconiferousTreesAndScrubPattern,"Brush (102,6723942,13434828)"
"TopographicAreaNatural Environment,Road Or TrackNonconiferous Trees (Scattered),Rough Grassland,ScrubNatural",roadFillVegetation,"Brush (2,13421772,13421772) Pen (1,1,13421772)"
"TopographicAreaNatural EnvironmentNonconiferous Trees (Scattered),ScrubNatural",scrubAndScatteredNonconiferousTreesPattern,"Brush (81,6723942,13434828)"
"TopographicAreaNatural Environment,RailNonconiferous Trees (Scattered),ScrubNatural",railFillVegetation,"Brush (2,13421772,13421772)"
"TopographicAreaNatural Environment,Road Or TrackNonconiferous Trees (Scattered),ScrubNatural",roadFillVegetation,"Brush (2,13421772,13421772) Pen (1,1,13421772)"
"TopographicAreaNatural EnvironmentNonconiferous Trees,RockNatural",multiVegetationPattern,"Brush (101,6723942,13434828)"
"TopographicAreaNatural EnvironmentNonconiferous Trees,Rock (Scattered)Natural",nonconiferousTreesAndScatteredRocksPattern,"Brush (102,6723942,13434828)"
"TopographicAreaNatural EnvironmentNonconiferous Trees,Rock (Scattered),ScrubNatural",multiVegetationPattern,"Brush (101,6723942,13434828)"
"TopographicAreaNatural EnvironmentNonconiferous Trees,Rough GrasslandNatural",roughGrassAndNonconiferousTreesPattern,"Brush (102,6723942,13434828)"
"TopographicAreaNatural Environment,RailNonconiferous Trees,Rough GrasslandNatural",railFillVegetation,"Brush (2,13421772,13421772)"
"TopographicAreaNatural Environment,Road Or TrackNonconiferous Trees,Rough GrasslandNatural",roadFillVegetation,"Brush (2,13421772,13421772) Pen (1,1,13421772)"
"TopographicAreaNatural EnvironmentNonconiferous Trees,Rough Grassland,ScrubNatural",roughGrassNonconiferousTreesAndScrubPattern,"Brush (102,6723942,13434828)"
"TopographicAreaNatural Environment,RailNonconiferous Trees,Rough Grassland,ScrubNatural",railFillVegetation,"Brush (2,13421772,13421772)"
"TopographicAreaNatural Environment,Road Or TrackNonconiferous Trees,Rough Grassland,ScrubNatural",roadFillVegetation,"Brush (2,13421772,13421772) Pen (1,1,13421772)"
"TopographicAreaNatural EnvironmentNonconiferous Trees,ScrubNatural",nonconiferousTreesAndScrubPattern,"Brush (102,6723942,13434828)"
"TopographicAreaNatural Environment,RailNonconiferous Trees,ScrubNatural",railFillVegetation,"Brush (2,13421772,13421772)"
"TopographicAreaNatural Environment,Road Or TrackNonconiferous Trees,ScrubNatural",roadFillVegetation,"Brush (2,13421772,13421772) Pen (1,1,13421772)"
TopographicAreaNatural EnvironmentOrchardNatural,orchardPattern,"Brush (80,6723942,13434828)"
"TopographicAreaNatural Environment,Road Or TrackOrchardNatural",roadFillVegetation,"Brush (2,13421772,13421772) Pen (1,1,13421772)"
TopographicLineBuildingOutlineManmadeObstructing,buildingLine,"Pen (1,2,16711680)"
TopographicLineBuildingOutlineManmadeOverhead,buildingOverheadLine,"Pen (1,3,16711680)"
TopographicPointStructureOverhead ConstructionManmade,pointSymbol,"Symbol (40,0,10) Pen (1,2,0)"
TopographicLineGeneral FeatureOverhead Construction,structureOverheadLine,"Pen (1,8,13408614)"
TopographicLineGeneral FeatureOverhead ConstructionManmade,structureOverheadLine,"Pen (1,8,13408614)"
TopographicAreaStructureOverhead ConstructionManmade,structureFill,"Brush (2,13408614,13408614)"
BoundaryLinePolitical Or AdministrativeParishBoundary,parishLine,"Pen (3,4,16711935)"
BoundaryLinePolitical Or AdministrativeParliamentaryBoundary,parliamentaryLine,"Pen (3,3,16711935)"
TopographicLineNetwork Or Polygon Closing GeometryPolygon Closing LinkClosing,closingLine,"Pen (1,2,16777215)"
TopographicPointGeneral FeaturePositioned BoulderNatural,positionedBoulderSymbol,"Symbol (33,6710886,10) Pen (1,2,6710886)"
TopographicPointGeneral FeaturePositioned Coniferous TreeNatural,positionedConiferousTreeSymbol,"Symbol (33,6710886,10) Pen (1,2,6710886)"
TopographicPointGeneral FeaturePositioned Nonconiferous TreeNatural,positionedNonconiferousTreeSymbol,"Symbol (33,6710886,10) Pen (1,2,6710886)"
TopographicLineRoad Or TrackPublicManmadeEdge / Limit,defaultDashedLine,"Pen (1,4,3355443)"
TopographicLineStructurePylonManmadeEdge / Limit,defaultLine,"Pen (1,2,0)"
TopographicAreaStructurePylonManmade,structureFill,"Brush (2,13408614,13408614)"
TopographicLineLandformRidge Or Rock LineNatural,landformLine,"Pen (1,4,3355443)"
CartographicTextRoad Or TrackRoad Name Or Classification,defaultCartographicText,"Brush (2,0,0)"
"TopographicAreaGeneral Feature,Road Or TrackRoad Or TrackManmade",roadFill,"Brush (2,13421772,13421772) Pen (1,1,13421772)"
"TopographicAreaRoad Or Track,StructureRoad Or TrackManmade",roadFill,"Brush (2,13421772,13421772) Pen (1,1,13421772)"
CartographicSymbolRoad Or TrackRoad Related Flow,roadFlowSymbol,"Symbol (40,0,10) Pen (1,2,0)"
TopographicAreaNatural EnvironmentRockNatural,rocksPattern,"Brush (146,6723942,13434828)"
TopographicAreaNatural EnvironmentRock (Scattered)Natural,scatteredRocksPattern,"Brush (147,6723942,13434828)"
"TopographicAreaNatural EnvironmentRock (Scattered),Rough GrasslandNatural",roughGrassAndScatteredRocksPattern,"Brush (102,6723942,13434828)"
"TopographicAreaNatural EnvironmentRock (Scattered),Rough Grassland,ScrubNatural",multiVegetationPattern,"Brush (101,6723942,13434828)"
"TopographicAreaNatural EnvironmentRock (Scattered),ScrubNatural",multiVegetationPattern,"Brush (101,6723942,13434828)"
"TopographicAreaNatural EnvironmentRock,Rough GrasslandNatural",roughGrassAndRocksPattern,"Brush (102,6723942,13434828)"
"TopographicAreaNatural EnvironmentRock,Rough Grassland,ScrubNatural",multiVegetationPattern,"Brush (101,6723942,13434828)"
"TopographicAreaNatural EnvironmentRock,ScrubNatural",multiVegetationPattern,"Brush (101,6723942,13434828)"
